name,latitude,longitude,time_frame,menu_items
Swift's Attic,30.26563986,-97.7433797,4PM - 5:30PM,discounted snacks; $6-9 cocktails; $9 & under pints for shorty prices; $5 HH white/red wine by glass; $2 miller lites
TenTen,30.26919675,-97.74766191,5PM - 6PM,"half-off all specialty cocktails, wine, sake, & house spirits; discounted handrolls, snacks, & larger snacks"
The Backspace,30.26700957,-97.74040537,5PM - 6:30PM,1/2 off antipasti & 1/2 off beer & wine by the glass
The Jackalope,30.26713308,-97.73899933,Mon all day; Tue - Fri 2PM - 7PM,$2 tall boys; $2 wells; $4 margaritas
The Roosevelt Room,30.2678633,-97.74624587,Mon - Sat 4PM - 7PM; Sun 3PM - 7PM,"$2 off glasses of wine, large fare food; $1 off beer, small fare food & sweets; 20% off bottles of still & sparkling wine"
Trace,30.25262113,-97.74704938,Sun - Thur 4PM - 6PM,$12 cocktails; $9 select glasses of wine; $5 local & domestic beer; discounted snacks
Truluck's,30.26581802,-97.74534534,4:30PM - 6PM,25% off all spirits under $25 & select wines by glass
Verbena,30.26991222,-97.74891371,3PM - 6PM,$10 flatbreads; $2 fresh oysters; $5 martinis; $3 rotating beer
Vince Young Steakhouse,30.26482478,-97.74121666,5PM - 7PM,10 items for $10; $3 off all wine; $2 off cocktails; $1 off beers & more
Walton's Fancy and Staple,30.26966494,-97.74900946,5:30PM - 7:30PM,$5 fancy snacks; $6 cocktails
Wu Chow,30.2685958,-97.74787719,5PM - 6PM,(patio & cocktail area only) $2 hot & sour soup
Colleen's Kitchen,30.29836144,-97.70470787,3PM - 6:30PM ,$1 off beer; $2 off glasses of wine; $2 bar snacks & starters; $6 classic cocktails
De Nada Cantina,30.25147002,-97.70213904,4PM - 6PM ,"$1 off all appetizers (chips & salsa, chips & queso, chips & guacamole, mexico city bean and cheese quesadilla, mexico city carnitas and cheese quesadilla) and crispy beef tacos; $1 off drinks (classic frozen margarita, seasonal frozen margarita, house rocks margarita, poncherello, modelo especial on draft, fair weather tejano dreams green chili cider, la ultima countdown)"
El Chile Cafe Y Cantina,30.28412909,-97.72179835,3 - 6:30PM ,$4-8 select cocktails & margaritas; $6-11 apps
Haymaker,30.28481421,-97.71759661,All Day Every Day,each day has different specials
Hillside Farmacy,30.26822306,-97.7269433,3PM - 5PM ,"$1 off all cocktails, beers, sodas; monday: half price oysters from 5pm"
Hotel Vegas,30.26342137,-97.72722849,5PM - 7PM,half off food; $2 lone stars; $5 cocktails
Il Brutto,30.26284371,-97.72634874,4PM - 6PM ,"1/2 off all cocktails, wine & beer"
Jacoby's,30.25160404,-97.70737186,5-9PM Wed; 5-6PM Thur - Sat,$5 appetizers; $10 burgers
Kinda Tropical,30.25653466,-97.70304467,3PM - 6PM ,$7 food; $7 drinks; all beers $1 off; tuesdays: $2 taco day; wednesdays: half priced wings; thursdays: half off bottles
Launderette,30.25194851,-97.72274919,5PM - 6PM ,"1/2 price beers, cocktails, & wines by the glass; $5 off snacky bits & plancha burgers"
Licha's Cantina,30.26399172,-97.72885633,4PM - 6PM ,$5-6 bites; $6 cocktails
Lou's,30.26245429,-97.76166579,4-6PM & 9-10PM Daily,$5 classic burger; 1/2 price lonestar; $5 cocktails; tuesday: 1/2 price wine bottles
Monger's Market + Kitchen,30.30689435,-97.73515928,4PM - 6PM ,"$7 smoked fish dip, shishito peppers; $8 fried clam strips, and more snackys; $1 of oysters, discounted raw bar; $1 off drafts; $2 off signature & classic cocktails; $2 off by the glass wines"
Revelry Kitchen & Bar,30.26363578,-97.72775682,4PM - 7PM ,"monday: happy hour all night; tuesday: pint & taco night ($1 off local drafts, $5 2 carne asada tacos); wed: wine + wings ($2 off all wines by the glass, $2 off wings); thurs: burger + cocktails (BOGO 1/2 off angus beer burger, $2 off house cocktails); sat&sun: funday brunch (11am-3pm $6 bloody marys, $4 glass/$12 carafe mimosas)"
Salty Sow,30.2838742,-97.7212317,4:30 - 6:30PM ,$2 off draft beer & craft cocktails; discounted bites
Sawyer & Co,30.25138053,-97.70179795,3:30 - 6:30PM Tue - Fri,$5 - $7 select cocktails; $5 house wines; $4 abita & modelo; $3 white claws; discounted food items
Techo Mezcaleria & Agave Bar,30.28411027,-97.71892809,5PM - 7PM ,"$6 guave agave margaritas, mezcel margaritas, & micheladas"
The Cavalier,30.26292873,-97.71469349,3PM - 7PM Every Damn Day (& Until 10PM on Sun),$1 off beer & wine; $3 well drinks & deviled eggs; $5 frozens & brussel sprouts
